,StartQuarter,ChannelLength,Stop Percent
0,1/1/2000,1300,0.067
1,4/1/2000,8600,0.008
2,7/1/2000,9400,0.008
3,10/1/2000,8300,0.009
4,1/1/2001,9700,0.009
5,4/1/2001,9300,0.009
6,7/1/2001,8600,0.01
7,10/1/2001,9100,0.009
8,1/1/2002,9700,0.009
9,4/1/2002,8900,0.01
10,7/1/2002,9200,0.084
11,10/1/2002,8800,0.083
12,1/1/2003,2100,0.1
13,4/1/2003,8600,0.084
14,7/1/2003,5300,0.099
15,10/1/2003,800,0.083
16,1/1/2004,4500,0.099
17,4/1/2004,9800,0.051
18,7/1/2004,9000,0.08
19,10/1/2004,7400,0.08
20,1/1/2005,7000,0.08
21,4/1/2005,6100,0.082
22,7/1/2005,9600,0.05
23,10/1/2005,5600,0.08
24,1/1/2006,5500,0.084
25,4/1/2006,5600,0.082
26,7/1/2006,5500,0.078
27,10/1/2006,5600,0.078
28,1/1/2007,1200,0.079
29,4/1/2007,1900,0.079
30,7/1/2007,1700,0.08
31,10/1/2007,2200,0.08
32,1/1/2008,9900,0.017
33,4/1/2008,6800,0.018
34,7/1/2008,9800,0.018
35,10/1/2008,4300,0.099
36,1/1/2009,4200,0.099
37,4/1/2009,3600,0.099
38,7/1/2009,1800,0.1
39,10/1/2009,1900,0.099
40,1/1/2010,5100,0.1
41,4/1/2010,3500,0.1
42,7/1/2010,1400,0.033
43,10/1/2010,1100,0.035
44,1/1/2011,1400,0.034
45,4/1/2011,1800,0.035
46,7/1/2011,1800,0.032
47,10/1/2011,900,0.033
48,1/1/2012,1300,0.032
49,4/1/2012,1400,0.035
50,7/1/2012,800,0.058
51,10/1/2012,800,0.049
52,1/1/2013,700,0.053
53,4/1/2013,600,0.047
54,7/1/2013,9100,0.01
55,10/1/2013,700,0.057
56,1/1/2014,9500,0.008
57,4/1/2014,4400,0.009
58,7/1/2014,9600,0.011
59,10/1/2014,4400,0.01
60,1/1/2015,9300,0.027
61,4/1/2015,9800,0.026
62,7/1/2015,9800,0.028
63,10/1/2015,9100,0.025
64,1/1/2016,9000,0.026
65,4/1/2016,9000,0.028
66,7/1/2016,9600,0.03
67,10/1/2016,9700,0.036
68,1/1/2017,9900,0.043
69,4/1/2017,9800,0.045
70,7/1/2017,10000,0.046
71,10/1/2017,7300,0.046
72,1/1/2018,7300,0.059
73,4/1/2018,6100,0.057
74,7/1/2018,2200,0.051
75,10/1/2018,800,0.081
76,1/1/2019,5900,0.048
77,4/1/2019,600,0.055
78,7/1/2019,1900,0.057
79,10/1/2019,2200,0.053
